substrate,power,calibration,baked,bake time,sample number,pressure,mtime,burn quality,DW,filePath,CW,cell number
380,4W,false,baked,12h,3,unknown,1423784505.614216,N/A,108,Y:/Characterization/GDOES/TCO/Today\issues/C12219_S380R_DW108-3 4W.jy,unknown,unknown
380,unknown,false,baked,12h,4,unknown,1423785433.4258459,N/A,108,Y:/Characterization/GDOES/TCO/Today\issues/C12219_S380R_DW108-4.jy,unknown,unknown
380,unknown,false,baked,12h,5,unknown,1423785837.170155,N/A,108,Y:/Characterization/GDOES/TCO/Today/C12219_S380R_DW108-5.jy,unknown,unknown
308,unknown,false,baked,12h,1,unknown,1423766692.8098633,N/A,118,Y:/Characterization/GDOES/TCO/Today\issues/C12224_S308R_dw118-1.jy,unknown,unknown
308,unknown,false,baked,12h,4,unknown,1423788939.0030684,good,118,Y:/Characterization/GDOES/TCO/Today/C12224_S308R_dw118-4.jy,unknown,unknown
308,unknown,false,baked,12h,5,unknown,1423789436.2227416,good,118,Y:/Characterization/GDOES/TCO/Today/C12224_S308R_dw118-5.jy,unknown,unknown
380,unknown,false,baked,12h,2,unknown,1423786231.726048,N/A,118,Y:/Characterization/GDOES/TCO/Today/C12224_S380R_DW118-2.jy,unknown,unknown
380,unknown,false,baked,12h,3,unknown,1423786559.8102243,N/A,118,Y:/Characterization/GDOES/TCO/Today/C12224_S380R_DW118-3.jy,unknown,unknown
187,unknown,false,baked,12h,2,unknown,1383591605.5272255,N/A,unknown,Y:/Characterization/GDOES/TCO/S00187/C163242-2.jy,unknown,163242
187,unknown,false,baked,12h,3,unknown,1383592065.9751298,N/A,unknown,Y:/Characterization/GDOES/TCO/S00187/C163242-3.jy,unknown,163242
187,unknown,false,baked,12h,4,unknown,1383592439.2993855,N/A,unknown,Y:/Characterization/GDOES/TCO/S00187/C163242-4.jy,unknown,163242
187,unknown,false,baked,12h,5,unknown,1383593485.6782293,N/A,unknown,Y:/Characterization/GDOES/TCO/S00187/C163242-5.jy,unknown,163242
187,unknown,false,baked,12h,6,unknown,1383948732.026338,N/A,unknown,Y:/Characterization/GDOES/TCO/S00187/C163242-6.jy,unknown,163242
187,unknown,false,baked,12h,7,unknown,1383949214.067185,N/A,unknown,Y:/Characterization/GDOES/TCO/S00187/C163242-7.jy,unknown,163242
268,unknown,false,baked,12h,1,unknown,1382577651.2942617,N/A,unknown,Y:/Characterization/GDOES/TCO/S00268/C379241-1------00001.jy,unknown,379241
268,unknown,false,baked,12h,1,unknown,1379978488.3880284,N/A,unknown,Y:/Characterization/GDOES/TCO/S00268/C379241-1.jy,unknown,379241
268,unknown,false,baked,12h,2,unknown,1382577227.5351174,N/A,unknown,Y:/Characterization/GDOES/TCO/S00268/C379241-2.jy,unknown,379241
268,unknown,false,baked,12h,3,unknown,1382639237.63423,N/A,unknown,Y:/Characterization/GDOES/TCO/S00268/C379241-3.jy,unknown,379241
268,unknown,false,baked,12h,1,unknown,1382576148.902423,N/A,unknown,Y:/Characterization/GDOES/TCO/S00268/C379451-1.jy,unknown,379451
268,unknown,false,baked,12h,3,unknown,1383178588.8449523,N/A,unknown,Y:/Characterization/GDOES/TCO/S00268/C379451-3.jy,unknown,379451
268,unknown,false,baked,12h,1,unknown,1382576631.9884715,N/A,unknown,Y:/Characterization/GDOES/TCO/S00268/C379535-1.jy,unknown,379535
268,unknown,false,baked,12h,2,unknown,1383179874.4900105,N/A,unknown,Y:/Characterization/GDOES/TCO/S00268/C379535-2.jy,unknown,379535
268,unknown,false,baked,12h,2,unknown,1382577077.696854,N/A,unknown,Y:/Characterization/GDOES/TCO/S00268/C380420-2.jy,unknown,380420
268,unknown,false,baked,12h,3,unknown,1382638224.8804512,N/A,unknown,Y:/Characterization/GDOES/TCO/S00268/C380420-3.jy,unknown,380420
269,unknown,false,baked,12h,2,unknown,1386715992.3041756,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269/C384850-2.jy,unknown,384850
269,unknown,false,baked,12h,1,unknown,1386959845.1903903,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269/C385065-1.jy,unknown,385065
269,unknown,false,baked,12h,2,unknown,1386720516.6689095,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269/C385234-2.jy,unknown,385234
269,unknown,false,baked,12h,3,unknown,1386721113.4635577,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269/C385234-3.jy,unknown,385234
269,unknown,false,baked,12h,1,unknown,1386958468.8389885,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269/C385299-1.jy,unknown,385299
269,unknown,false,baked,12h,2,unknown,1386723107.5402477,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269/C385351-2.jy,unknown,385351
269,unknown,false,baked,12h,1,unknown,1386959182.6650424,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269/C385429-1.jy,unknown,385429
269,unknown,false,baked,12h,2,unknown,1386969817.7056813,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269/C385429-2.jy,unknown,385429
269,unknown,false,baked,12h,3,unknown,1386970247.0340354,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269/C385429-3.jy,unknown,385429
269,unknown,false,baked,12h,4,unknown,1386970815.2328215,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269/C385429-4.jy,unknown,385429
269,unknown,false,baked,12h,1,unknown,1380843035.6214976,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269\s269-7/C385546-1D.jy,unknown,385546
269,unknown,false,baked,12h,4,unknown,1382572818.7489865,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269\s269-7\8-1000/C385546-4.jy,unknown,385546
269,unknown,false,baked,12h,1,unknown,1382573903.8712926,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269\S269-9/C385598-1.jy,unknown,385598
269,unknown,false,baked,12h,1,unknown,1382574356.802488,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269\S269-10/C385637-1.jy,unknown,385637
269,unknown,false,baked,12h,2,unknown,1382575101.8909838,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269\S269-10/C385637-2.jy,unknown,385637
269,unknown,false,baked,12h,4,unknown,1386714996.1800258,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269/C385637-4.jy,unknown,385637
269,unknown,false,baked,12h,5,unknown,1380744177.8697202,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269\s269-11/C385663-5.jy,unknown,385663
269,unknown,false,baked,12h,6,unknown,1382575555.10298,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269\s269-11\8-1000/C385663-6.jy,unknown,385663
269,unknown,false,baked,12h,2,unknown,1386723964.590153,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269/C385741-2.jy,unknown,385741
269,unknown,false,baked,12h,1,unknown,1382573402.4864118,N/A,unknown,Y:/Characterization/GDOES/TCO/S00269\S269-17/C385754-1.jy,unknown,385754
271,unknown,false,baked,12h,3,unknown,1383252619.9083464,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C389766-3.jy,unknown,389766
271,unknown,false,baked,12h,4,unknown,1383253375.230473,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C389766-4.jy,unknown,389766
271,unknown,false,baked,12h,1,unknown,1383185259.6712449,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C389776-1.jy,unknown,389776
271,unknown,false,baked,12h,2,unknown,1383185932.0636258,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C389776-2.jy,unknown,389776
273,unknown,false,baked,12h,3,unknown,1383009743.6291287,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/C3979189-3.jy,unknown,3979189
273,unknown,false,baked,12h,4,unknown,1383010438.2515488,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/C3979189-4.jy,unknown,3979189
273,unknown,false,baked,12h,1,unknown,1382660832.148512,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-02/C397981-1.jy,unknown,397981
273,unknown,false,baked,12h,2,unknown,1383007608.6601913,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/C397981-2------00001.jy,unknown,397981
273,unknown,false,baked,12h,2,unknown,1382720870.8493178,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/C397981-2.jy,unknown,397981
273,unknown,false,baked,12h,4,unknown,1382740700.854287,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/C397981-4.jy,unknown,397981
273,unknown,false,baked,12h,1,unknown,1382661664.7531743,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-02/C398189-1.jy,unknown,398189
273,unknown,false,baked,12h,2,unknown,1382732068.8901496,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/C398189-2.jy,unknown,398189
273,unknown,false,baked,12h,1,unknown,1382659924.9601185,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-02/C398293-1.jy,unknown,398293
273,unknown,false,baked,12h,1,unknown,1382741407.2859275,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/C398865-1.jy,unknown,398865
273,unknown,false,baked,12h,1,unknown,1382742216.568549,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/C3988813-1.jy,unknown,3988813
273,unknown,false,baked,12h,2,unknown,1382742784.6331346,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/C3988813-2.jy,unknown,3988813
273,unknown,false,baked,12h,2,unknown,1382743360.7889464,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/C3988865-2.jy,unknown,3988865
273,unknown,false,baked,12h,1,unknown,1382744131.960701,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/C399983-1.jy,unknown,399983
273,unknown,false,baked,12h,2,unknown,1382745948.8490922,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/C399983-2.jy,unknown,399983
273,unknown,false,baked,12h,3,unknown,1382746394.5776713,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/C399983-3.jy,unknown,399983
273,unknown,false,baked,12h,1,unknown,1382745628.9861305,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/C400061-1.jy,unknown,400061
273,unknown,false,baked,12h,2,unknown,1382747121.813521,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/C400061-2.jy,unknown,400061
273,unknown,false,baked,12h,3,unknown,1382647593.0692692,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273/C400274-3.jy,unknown,400274
273,unknown,false,baked,12h,2,unknown,1382642038.431137,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273/C400374-2.jy,unknown,400374
273,unknown,false,baked,12h,2,unknown,1380828496.6566424,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273/C400374-2B.jy,unknown,400374
273,unknown,false,baked,12h,2,unknown,1380829693.5442722,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\Tuning Recipe/C400374-2C.jy,unknown,400374
273,unknown,false,baked,12h,2,unknown,1380831024.6479104,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\Tuning Recipe/C400374-2D.jy,unknown,400374
273,unknown,false,baked,12h,2,unknown,1380836292.470451,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\Tuning Recipe/C400374-2E-----00001.jy,unknown,400374
273,unknown,false,baked,12h,3,unknown,1380836128.7201154,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\Tuning Recipe/C400374-3E-----00001.jy,unknown,400374
273,unknown,false,baked,12h,1,unknown,1382578136.9831028,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273/C401258-1.jy,unknown,401258
273,unknown,false,baked,12h,1,unknown,1380841458.2933884,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\Tuning Recipe/C401258-1D.jy,unknown,401258
273,unknown,false,baked,12h,1,unknown,1380834911.0410938,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\Tuning Recipe/C401258-1E.jy,unknown,401258
273,unknown,false,baked,12h,2,unknown,1382640453.405953,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273/C401258-2.jy,unknown,401258
273,unknown,false,baked,12h,2,unknown,1380823885.7553809,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273/C401258-2B.jy,unknown,401258
273,unknown,false,baked,12h,2,unknown,1380839048.6732247,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\Tuning Recipe/C401258-2E-----00001.jy,unknown,401258
273,unknown,false,baked,12h,3,unknown,1382641217.588895,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273/C401258-3.jy,unknown,401258
273,unknown,false,baked,12h,3,unknown,1380840233.3719676,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\Tuning Recipe/C401258-3E.jy,unknown,401258
273,unknown,false,baked,12h,4,unknown,1382648423.1779273,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273/C401258-4.jy,unknown,401258
273,unknown,false,baked,12h,5,unknown,1382649030.4557939,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273/C401258-5.jy,unknown,401258
273,unknown,false,baked,12h,1,unknown,1382578770.749816,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273/C401374-1.jy,unknown,401374
273,unknown,false,baked,12h,4,unknown,1380837376.9337368,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\Tuning Recipe/C401374-4E.jy,unknown,401374
271,unknown,false,baked,12h,10,unknown,1383077810.484684,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C402854-10c.jy,unknown,402854
271,unknown,false,baked,12h,11,unknown,1383079404.2844715,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C402854-11c.jy,unknown,402854
271,unknown,false,baked,12h,11,unknown,1383078554.597779,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C402854-11d.jy,unknown,402854
271,unknown,false,baked,12h,1,unknown,1382650510.305593,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C402854-1c.jy,unknown,402854
271,unknown,false,baked,12h,1,unknown,1383070047.7020302,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C402854-1d---00001.jy,unknown,402854
271,unknown,false,baked,12h,2,unknown,1382653186.5916815,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C402854-2c.jy,unknown,402854
271,unknown,false,baked,12h,2,unknown,1382651547.5436027,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C402854-2d.jy,unknown,402854
271,unknown,false,baked,12h,3,unknown,1382654108.1789002,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C402854-3c.jy,unknown,402854
271,unknown,false,baked,12h,3,unknown,1382652414.218725,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C402854-3d.jy,unknown,402854
271,unknown,false,baked,12h,4,unknown,1382654845.8059835,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C402854-4c.jy,unknown,402854
271,unknown,false,baked,12h,5,unknown,1382655732.04354,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C402854-5c.jy,unknown,402854
265,unknown,false,baked,12h,1,unknown,1382402382.4806433,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L\8_1000_5_4/C404087-1.jy,unknown,404087
265,unknown,false,baked,12h,2,unknown,1380935130.9818392,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L/C404087-2.jy,unknown,404087
265,unknown,false,baked,12h,1,unknown,1382401953.69829,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L\8_1000_5_4/C404123-1.jy,unknown,404123
265,unknown,false,baked,12h,2,unknown,1382402538.948918,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L\8_1000_5_4/C404123-2.jy,unknown,404123
265,unknown,false,baked,12h,3,unknown,1382402655.8243234,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L\8_1000_5_4/C404123-3.jy,unknown,404123
265,unknown,false,baked,12h,4,unknown,1382403140.6823618,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L\8_1000_5_4/C404123-4.jy,unknown,404123
265,unknown,false,baked,12h,5,unknown,1382404851.7713673,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L\8_1000_5_4/C404123-5.jy,unknown,404123
265,unknown,false,baked,12h,1,unknown,1380937331.2680664,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L/C404171-1 stopped at 330s.jy,unknown,404171
265,unknown,false,baked,12h,1,unknown,1382401329.3383934,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L\8_1000_5_4/C404171-1.jy,unknown,404171
265,unknown,false,baked,12h,2,unknown,1382472614.8385274,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L\8_1000_5_4/C404171-2.jy,unknown,404171
265,unknown,false,baked,12h,3,unknown,1382473159.419884,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L\8_1000_5_4/C404171-3.jy,unknown,404171
265,unknown,false,baked,12h,7,unknown,1382656642.3207388,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L/C404171-7.jy,unknown,404171
265,unknown,false,baked,12h,1,unknown,1382404249.7195096,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L\8_1000_5_4/C404195-1.jy,unknown,404195
265,unknown,false,baked,12h,2,unknown,1380936511.7173507,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L/C404195-2.jy,unknown,404195
265,unknown,false,baked,12h,3,unknown,1380936697.0511148,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L/C404195-3.jy,unknown,404195
265,unknown,false,baked,12h,4,unknown,1380939363.1786573,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L/C404195-4.jy,unknown,404195
265,unknown,false,baked,12h,5,unknown,1380939391.221856,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L/C404195-5.jy,unknown,404195
265,unknown,false,baked,12h,7,unknown,1382657357.0515943,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L/C404195-7.jy,unknown,404195
265,unknown,false,baked,12h,8,unknown,1382657784.9291458,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L/C404195-8.jy,unknown,404195
265,unknown,false,baked,12h,1,unknown,1382403668.4156888,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L\8_1000_5_4/C404219-1.jy,unknown,404219
271,unknown,false,baked,12h,2,unknown,1391475312.1546452,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C407121-2.jy,unknown,407121
271,unknown,false,baked,12h,3,unknown,1391475904.9088862,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C407990-3.jy,unknown,407990
280,unknown,false,baked,12h,1,unknown,1383872897.2585466,N/A,unknown,Y:/Characterization/GDOES/TCO/S00280/C416490-1.jy,unknown,416490
280,unknown,false,baked,12h,2,unknown,1383873353.4033477,N/A,unknown,Y:/Characterization/GDOES/TCO/S00280/C416490-2.jy,unknown,416490
280,unknown,false,baked,12h,3,unknown,1383873818.1749642,N/A,unknown,Y:/Characterization/GDOES/TCO/S00280/C416490-3.jy,unknown,416490
280,unknown,false,baked,12h,4,unknown,1383874378.2685356,N/A,unknown,Y:/Characterization/GDOES/TCO/S00280/C416490-4.jy,unknown,416490
282,unknown,false,baked,12h,1,unknown,1383875102.8898084,N/A,unknown,Y:/Characterization/GDOES/TCO/S00282/C418713-1.jy,unknown,418713
282,unknown,false,baked,12h,2,unknown,1383875876.6667676,N/A,unknown,Y:/Characterization/GDOES/TCO/S00282/C418713-2.jy,unknown,418713
280,unknown,false,baked,12h,1,unknown,1383871421.3243544,N/A,unknown,Y:/Characterization/GDOES/TCO/S00280/C420186-1.jy,unknown,420186
280,unknown,false,baked,12h,2,unknown,1383872084.1227186,N/A,unknown,Y:/Characterization/GDOES/TCO/S00280/C420186-2.jy,unknown,420186
284,unknown,false,baked,12h,1,unknown,1383695786.4123838,N/A,unknown,Y:/Characterization/GDOES/TCO/S00284/C432438-1.jy,unknown,432438
284,unknown,false,baked,12h,2,unknown,1383696635.3502748,N/A,unknown,Y:/Characterization/GDOES/TCO/S00284/C432438-2.jy,unknown,432438
271,unknown,false,baked,12h,1,unknown,1391552620.1388655,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C435549-1.jy,unknown,435549
271,unknown,false,baked,12h,1,unknown,1391552142.1196108,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C435788-1---00001.jy,unknown,435788
271,unknown,false,baked,12h,1,unknown,1391551564.6355128,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/C435788-1.jy,unknown,435788
285,unknown,false,baked,12h,1,unknown,1388691771.0259159,N/A,unknown,Y:/Characterization/GDOES/TCO/S00285\S285 gd data/C437523-1.jy,unknown,437523
285,unknown,false,baked,12h,2,unknown,1388692387.064786,N/A,unknown,Y:/Characterization/GDOES/TCO/S00285\S285 gd data/C437523-2.jy,unknown,437523
285,unknown,false,baked,12h,3,unknown,1388700948.7690306,N/A,unknown,Y:/Characterization/GDOES/TCO/S00285\S285 gd data/C437523-3.jy,unknown,437523
285,unknown,false,baked,12h,1,unknown,1388700106.6639514,N/A,unknown,Y:/Characterization/GDOES/TCO/S00285\S285 gd data/C437670-1.jy,unknown,437670
285,unknown,false,baked,12h,2,unknown,1388707882.8003848,N/A,unknown,Y:/Characterization/GDOES/TCO/S00285\S285 gd data/C437670-2.jy,unknown,437670
285,unknown,false,baked,12h,1,unknown,1384212203.7596028,N/A,unknown,Y:/Characterization/GDOES/TCO/S00285\S285 gd data/C437943-1.jy,unknown,437943
